model_name,variable,channel_name,lead_hours,rmse,mae,bias,skill_vs_persistence
persistence,Mean sea level pressure,mean_sea_level_pressure,216,995.0025125596418,632.9574497767857,0.13518985680171422,0.0
persistence,500 hPa geopotential,geopotential_500,216,1102.0615746344276,689.1833844866071,-0.8016131264822823,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,216,5.325696336539385,3.682921818324498,-0.0788203137261527,0.0
persistence,2 m temperature,2m_temperature,240,3.618172365248571,2.0855253764561246,0.014805045511041368,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,240,988.5199976299344,630.1619698660714,-0.3706816945757185,0.0
persistence,500 hPa geopotential,geopotential_500,240,1100.1900485175927,688.4144810267857,-0.14708409990583146,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,240,5.368072405087432,3.7108772822788785,-0.054039878504616876,0.0
persistence,2 m temperature,2m_temperature,264,3.6389864491685238,2.1030897412981306,0.019031362874167308,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,264,1000.5181157780203,637.3016183035714,0.391538211277553,0.0
persistence,500 hPa geopotential,geopotential_500,264,1104.004011379876,689.33642578125,-0.5323333740234375,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,264,5.394476496761029,3.712475912911551,-0.0321507602930069,0.0
persistence,2 m temperature,2m_temperature,288,3.663860816296683,2.1304212297712053,0.012491945709500994,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,288,1006.2391081930491,642.9347098214286,-0.974348749433245,0.0
persistence,500 hPa geopotential,geopotential_500,288,1111.9702591089642,692.2297712053571,-1.5715277535574776,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,288,5.370167127861692,3.7098726545061385,-0.0019066384328263147,0.0
persistence,2 m temperature,2m_temperature,312,3.7436612279489765,2.1682699748447964,0.013097028647150313,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,312,1006.6315115274308,649.13525390625,-1.8332578114100866,0.0
persistence,500 hPa geopotential,geopotential_500,312,1119.941388772517,699.3570033482143,-3.935039520263672,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,312,5.387431119049227,3.7234739576067244,0.02322058379650116,0.0
persistence,2 m temperature,2m_temperature,336,3.7502072231621235,2.183700289045061,0.013017916253634862,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,336,994.7154654185573,638.4645647321429,-1.8762133462088448,0.0
persistence,500 hPa geopotential,geopotential_500,336,1113.0957473897486,696.5357142857143,-8.267313276018415,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,336,5.419985872772097,3.7403501783098494,0.015566713043621607,0.0
persistence,2 m temperature,2m_temperature,360,3.7041696979899146,2.170876911708287,0.009942565645490373,0.0
persistence,Mean sea level pressure,mean_sea_level_pressure,360,993.9269519005336,632.0475725446429,-1.7225843157087053,0.0
persistence,500 hPa geopotential,geopotential_500,360,1117.3496702976583,696.7354910714286,-10.766734531947545,0.0
persistence,10 m zonal wind,10m_u_component_of_wind,360,5.470713534617398,3.7699187142508372,-0.004256153745310647,0.0
